ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-01-06,2886.376418838,215.65486898304175,4628.656945186667,2886.376418838,2886.376418838,-455.1630240821655,-455.1630240821655,-455.1630240821655,-455.1630240821655,-455.1630240821655,-455.1630240821655,0.0,0.0,0.0,2431.2133947558345
2014-01-13,2891.94686755586,-1290.3320310171614,2924.6964350185017,2891.94686755586,2891.94686755586,-2008.8428046074957,-2008.8428046074957,-2008.8428046074957,-2008.8428046074957,-2008.8428046074957,-2008.8428046074957,0.0,0.0,0.0,883.1040629483643
2014-01-20,2897.5173162737206,-1848.0389660086155,2578.4695692258856,2897.5173162737206,2897.5173162737206,-2413.1058230693543,-2413.1058230693543,-2413.1058230693543,-2413.1058230693543,-2413.1058230693543,-2413.1058230693543,0.0,0.0,0.0,484.41149320436625
2014-01-27,2903.087764991581,-1487.6455673078017,3018.085013513869,2903.087764991581,2903.087764991581,-1981.9776034107897,-1981.9776034107897,-1981.9776034107897,-1981.9776034107897,-1981.9776034107897,-1981.9776034107897,0.0,0.0,0.0,921.1101615807913
2014-02-03,2908.658213709441,-686.04370015403,3526.0816856535957,2908.658213709441,2908.658213709441,-1533.413186117813,-1533.413186117813,-1533.413186117813,-1533.413186117813,-1533.413186117813,-1533.413186117813,0.0,0.0,0.0,1375.245027591628
2014-02-10,2914.2286624273015,-977.24879597963,3600.9298055406357,2914.2286624273015,2914.2286624273015,-1641.7579572770294,-1641.7579572770294,-1641.7579572770294,-1641.7579572770294,-1641.7579572770294,-1641.7579572770294,0.0,0.0,0.0,1272.4707051502721
2014-02-17,2919.8096274818117,-1429.168358895264,3040.0642298547996,2919.8096274818117,2919.8096274818117,-2155.5034558808234,-2155.5034558808234,-2155.5034558808234,-2155.5034558808234,-2155.5034558808234,-2155.5034558808234,0.0,0.0,0.0,764.3061716009884
2014-02-24,2925.390592536322,-1737.5438455191324,2680.030123170166,2925.390592536322,2925.390592536322,-2419.3890888051583,-2419.3890888051583,-2419.3890888051583,-2419.3890888051583,-2419.3890888051583,-2419.3890888051583,0.0,0.0,0.0,506.00150373116367
2014-03-03,2930.9715575908326,-1310.9187600882906,3204.285001544516,2930.9715575908326,2930.9715575908326,-1979.5377641546656,-1979.5377641546656,-1979.5377641546656,-1979.5377641546656,-1979.5377641546656,-1979.5377641546656,0.0,0.0,0.0,951.433793436167
2014-03-10,2936.5525226453424,-426.44800640412336,4249.587932953887,2936.5525226453424,2936.5525226453424,-1065.571136233797,-1065.571136233797,-1065.571136233797,-1065.571136233797,-1065.571136233797,-1065.571136233797,0.0,0.0,0.0,1870.9813864115454
